"site_key","latitude","longitude","site_id"
"48.62000000_87.27000000",48.62,87.27,"48.62000000_87.27000000"
"49.16666700_-79.28333300",49.166667,-79.283333,"49.16666700_-79.28333300"
"49.25000000_-89.75000000",49.25,-89.75,"49.25000000_-89.75000000"
"49.38000000_123.50000000",49.38,123.5,"49.38000000_123.50000000"
"49.45000000_-78.31000000",49.45,-78.31,"49.45000000_-78.31000000"
"49.50000000_-79.25000000",49.5,-79.25,"49.50000000_-79.25000000"
"49.56666700_28.15000000",49.566667,28.15,"49.56666700_28.15000000"
"50.00000000_-79.18000000",50,-79.18,"50.00000000_-79.18000000"
"50.13000000_19.32000000",50.13,19.32,"50.13000000_19.32000000"
"50.13000000_19.33000000",50.13,19.33,"50.13000000_19.33000000"
"50.43333300_-89.41666700",50.433333,-89.416667,"50.43333300_-89.41666700"
"50.58333300_-95.90000000",50.583333,-95.9,"50.58333300_-95.90000000"
"50.78333300_14.33333300",50.783333,14.333333,"50.78333300_14.33333300"
"50.83000000_-96.16000000",50.83,-96.16,"50.83000000_-96.16000000"
"51.00000000_-120.00000000",51,-120,"51.00000000_-120.00000000"
"51.29000000_125.33000000",51.29,125.33,"51.29000000_125.33000000"
"51.50000000_123.00000000",51.5,123,"51.50000000_123.00000000"
"51.58000000_122.97000000",51.58,122.97,"51.58000000_122.97000000"
"51.88000000_122.83000000",51.88,122.83,"51.88000000_122.83000000"
"54.54000000_-126.90000000",54.54,-126.9,"54.54000000_-126.90000000"
"54.70000000_25.13333300",54.7,25.133333,"54.70000000_25.13333300"
"55.74000000_-3.65805600",55.74,-3.658056,"55.74000000_-3.65805600"
"55.74000000_-3.66000000",55.74,-3.66,"55.74000000_-3.66000000"
"56.75000000_-111.31000000",56.75,-111.31,"56.75000000_-111.31000000"
"57.18000000_-3.65000000",57.18,-3.65,"57.18000000_-3.65000000"
"57.50000000_-111.33333300",57.5,-111.333333,"57.50000000_-111.33333300"
"57.54000000_-111.33000000",57.54,-111.33,"57.54000000_-111.33000000"
"58.01666700_-111.23333300",58.016667,-111.233333,"58.01666700_-111.23333300"
"58.70000000_98.42000000",58.7,98.42,"58.70000000_98.42000000"
"59.80000000_16.10000000",59.8,16.1,"59.80000000_16.10000000"
"6.40000000_80.50000000",6.4,80.5,"6.40000000_80.50000000"
"60.00000000_-128.00000000",60,-128,"60.00000000_-128.00000000"
